主族群,細分產品,國家,排名,代碼,公司,產業地位
半導體設備,自動化設備,日,168,6227,ＡＩメカ,半導體/電池自動化設備廠
汽車,輪胎,日,169,5101,浜ゴム,住友橡膠輪胎廠
被動元件,電解電容,日,170,6997,日ケミコン,電解電容大廠
金融,證券,日,173,8601,大和,大和證券
傳統消費,百貨零售,日,174,3086,Ｊフロント,百貨公司
汽車,汽車整車,日,175,7261,マツダ,Mazda
生技醫藥,製藥,日,176,4523,エーザイ,Eisai
傳統消費,飲料,日,177,2503,キリンＨＤ,麒麟飲料
網路服務,通訊/媒體,日,178,4689,ラインヤフー,LINE Yahoo
金融,銀行,日,180,5831,しずおかＦＧ,銀行
金融,保險,日,181,8729,ソニーＦＧ,保險
半導體設備,測試/量測儀器,日,183,6754,アンリツ,電子測試量測儀器廠
生技醫藥,製藥,日,184,4506,住友ファーマ,住友製藥
IT/系統整合,軟體/ERP,日,186,4684,オービック,Obic軟體
機器人/自動化,金屬加工機械,日,188,6113,アマダ,金屬加工機械廠
傳統產業,物流,日,189,9147,ＮＸＨＤ,物流公司
生技醫藥,醫療內視鏡設備,日,190,7733,オリンパス,Olympus醫材
傳統產業,營建,日,191,1802,大林組,營建公司
金融,銀行,日,194,8331,千葉銀,銀行
金融,銀行,日,196,8354,ふくおかＦＧ,銀行
金融,銀行,日,198,7186,横浜ＦＧ,銀行
能源,石油,日,200,5020,ＥＮＥＯＳ,石油公司
金融,租賃,日,203,8593,三菱ＨＣキャ,租賃金融
機器人/自動化,精密直線運動元件,日,205,6481,ＴＨＫ,機器人/工具機核心零件廠
傳統產業,農機/建機,日,206,6326,クボタ,Kubota
AI/軟體服務,資料分析,日,207,3905,データセク,Data Section資料分析
機器人/自動化,工業自動化控制系統,日,208,6841,横河電,工業自動化控制大廠
被動元件,電解電容,日,210,6996,ニチコン,電解電容大廠
封測(OSAT/測試),導線架(Lead Frame),日,211,6966,三井ハイテク,IC封裝用導線架廠
傳統產業,鐵路,日,213,9024,西武ＨＤ,鐵路公司
IT/系統整合,IT系統整合,日,215,4768,大塚商会,大塚商會
半導體設備,超純水系統設備,日,219,6254,野村マイクロ,半導體用超純水系統設備廠
汽車,車用精密齒輪零件,日,222,7220,武蔵精密,車用零件廠
半導體設備,真空鍵設備,日,223,6728,アルバック,半導體/面板真空蒸鍍設備廠
傳統產業,電力工程,日,224,1942,関電工,電力工程公司
品牌3C,印表機/精密儀器,日,225,6724,エプソン,Epson
媒體/娛樂,廣告,日,228,4324,電通グループ,電通集團
傳統消費,藥妝零售,日,229,3088,マツキヨココ,藥妝零售
不動產,不動產開發,日,230,8804,東建物,不動產開發商
傳統產業,鐵路,日,231,9042,阪急阪神,鐵路公司
金融,銀行,日,235,5844,京都ＦＧ,銀行
傳統產業,電力工程,日,236,1944,きんでん,電力工程公司
遊戲/娛樂,遊戲軟體,日,238,3659,ネクソン,Nexon
IT/系統整合,系統測試服務,日,239,3697,ＳＨＩＦＴ,SHIFT軟體測試
網路服務,打工媒合平台,日,240,215,タイミー,Timee
傳統消費,百貨零售,日,241,8233,高島屋,高島屋百貨
網路服務,叫車平台,日,246,581,ＧＯ,GO計程車叫車App
CPO/光通訊,石英振盪器,日,247,6779,日電波,石英元件廠
生技醫藥,醫療檢測設備,日,248,6869,シスメックス,Sysmex醫療檢測設備
公用事業,燃氣,日,249,9531,東ガス,燃氣公司
半導體設備,電子顯微鏡/檢測設備,日,250,6951,日電子,半導體檢測設備廠
能源,石油,日,251,5019,出光興産,石油公司
商社,綜合商社,日,252,2768,双日,綜合商社
傳統產業,鐵路,日,255,9023,東京メトロ,鐵路公司
金融,網路證券,日,256,8698,マネックスＧ,網路證券商
金融,銀行,日,257,8303,ＳＢＩ新生銀,銀行
傳統消費,食品,日,258,2875,東洋水,食品公司
半導體材料,電子材料(非鐵金屬),日,260,5714,ＤＯＷＡ,半導體封裝金屬材料廠
網路服務,遊戲/網路服務,日,263,2432,ディーエヌエ,DeNA
金融,信用卡/消費金融,日,264,8253,クレセゾン,信用卡公司
半導體材料,工業氣體,日,265,4088,エアウォータ,半導體用工業氣體廠
傳統產業,建機,日,266,6305,日立建機,建機廠
半導體設備,石英製品/精密加工,日,270,6264,マルマエ,半導體石英製品廠
機器人/自動化,工具機(車床),日,274,6101,ツガミ,工具機廠
不動產,不動產開發,日,275,3003,ヒューリック,不動產開發商
半導體材料,蝕刻化學品,日,276,4971,メック,半導體/PCB蝕刻化學品廠
傳統消費,藥妝零售,日,277,3391,ツルハＨＤ,藥妝零售
機器人/自動化,工具機,日,278,6141,ＤＭＧ森精機,工具機廠
傳統產業,物流,日,281,9064,ヤマトＨＤ,物流公司
金融,銀行,日,282,7167,めぶきＦＧ,銀行
公用事業,燃氣,日,283,9532,大ガス,燃氣公司
生技醫藥,製藥,日,284,4564,オンコセラピ,製藥公司
傳統產業,工程(石化廠),日,285,1963,日揮ＨＤ,工程公司
連接器,連接器,日,289,6806,ヒロセ電,連接器大廠
機器人/自動化,焊接機器人/電力設備,日,290,6622,ダイヘン,焊接機器人/電力設備廠
半導體材料,貴金屬濺鍍材料,日,293,7826,フルヤ金属,半導體濺鍍材料廠
太空產業,小型雷達衛星,日,295,464,ＱＰＳＨＤ,QPS研究所衛星新創
汽車,車用零件,日,297,7259,アイシン,Aisin變速箱大廠
傳統產業,鐵路,日,300,9005,東急,鐵路公司
無人機/新興科技,無人機服務,日,301,278,テラドローン,Terra Drone無人機
網路服務,電商,日,304,3092,ＺＯＺＯ,ZOZO服飾電商
媒體/娛樂,電影,日,307,9602,東宝,東寶
金融,保險,日,308,7181,かんぽ生命,日本郵政保險
網路服務,電商,日,309,3064,モノタロウ,MonotaRO工業品電商
不動產,不動產開發,日,311,3289,東急不ＨＤ,不動產開發商
金融,銀行,日,314,8304,あおぞら銀,銀行
傳統消費,百貨零售,日,315,8252,丸井Ｇ,丸井集團
金融,銀行,日,318,7173,東京きらぼし,銀行
IT/系統整合,SaaS軟體,日,326,4443,Ｓａｎｓａｎ,Sansan名片管理SaaS
金融,銀行,日,327,8377,ほくほくＦＧ,銀行
媒體/娛樂,VTuber/虛擬偶像,日,329,5253,カバー,Cover(Hololive)
傳統消費,服飾零售,日,330,7564,ワークマン,工作服零售
半導體材料,封裝樹脂材料,日,335,4061,デンカ,化學材料廠(含半導體封裝材料)
傳統消費,食品,日,338,2267,ヤクルト,養樂多
金融,銀行,日,339,8359,八十二長野,銀行
半導體材料,半導體封裝樹脂,日,340,4203,住友ベ,半導體封裝樹脂材料廠
傳統消費,服飾零售,日,341,8227,しまむら,服飾零售
生技醫藥,製藥,日,342,4151,協和キリン,協和麒麟製藥
生技醫藥,製藥,日,343,4536,参天薬,參天製藥
半導體設備,半導體曝光設備/光學,日,344,7731,ニコン,Nikon
傳統產業,電信工程,日,345,1721,コムシスＨＤ,電信工程公司
傳統消費,食品,日,346,2897,日清食ＨＤ,日清食品
傳統消費,食品,日,347,2264,森永乳,森永乳業
傳統消費,食品,日,348,2269,明治ＨＤ,明治食品
不動產,不動產開發,日,350,3231,野村不ＨＤ,不動產開發商
封測(OSAT/測試),IC測試插座/連接器,日,352,6941,山一電機,測試插座/連接器廠
傳統消費,食品,日,353,2871,ニチレイ,食品公司
傳統產業,鐵路,日,355,9009,京成,鐵路公司
IT/系統整合,系統整合,日,357,3626,ＴＩＳＩ,TIS系統整合
半導體材料,工業氣體,日,359,4091,日本酸素ＨＤ,半導體特殊氣體廠
IT/系統整合,軟體,日,361,4716,日本オラクル,日本Oracle
傳統產業,營建,日,362,1893,五洋建,營建公司
生技醫藥,製藥,日,363,4528,小野薬,小野藥品
生技醫藥,製藥,日,364,2160,ジーエヌアイ,製藥公司
傳統消費,酒類,日,365,2531,宝ＨＬＤ,寶控股
汽車,軸承,日,368,6471,日精工,NSK軸承大廠
公用事業,電力,日,371,9513,Ｊパワー,電力公司
汽車,車用零件(軸承),日,372,6473,ジェイテクト,JTEKT軸承/車用零件
半導體設備,光源/感測元件,日,374,6925,ウシオ電,車用/半導體光源元件廠
被動元件,連接器/感測器,日,377,6770,アルプスアル,連接器/感測器/被動元件綜合廠
機器人/自動化,工具機,日,379,6103,オークマ,工具機龍頭
矽晶圓/材料,多晶矽材料,日,380,4043,トクヤマ,多晶矽供應商(半導體/太陽能)
傳統消費,家電零售,日,382,9831,ヤマダＨＤ,山田電機
遊戲/娛樂,遊戲軟體,日,383,9684,スクエニＨＤ,Square Enix
傳統產業,船用電子設備,日,386,6814,古野電,Furuno船用電子
金融,銀行,日,388,5830,いよぎんＨＤ,銀行
功率半導體,功率半導體/電源,日,391,6707,サンケン,功率半導體/電源元件廠
網路服務,比價網站,日,393,2371,カカクコム,Kakaku.com
汽車,汽車整車,日,396,7211,三菱自,Mitsubishi Motors
傳統消費,鞋類零售,日,400,2670,ＡＢＣマート,鞋類零售
金融,銀行,日,401,8334,群馬銀,銀行
半導體材料,碳材料(石墨電極),日,402,5301,東海カーボン,半導體碳材料廠
半導體材料,前驅物材料,日,404,4369,トリケミカル,半導體前驅物材料廠
金融,銀行,日,408,8366,滋賀銀,銀行
生技醫藥,製藥,日,409,4588,オンコリス,製藥公司
傳統產業,鐵路,日,412,9007,小田急,鐵路公司
半導體材料,特殊氣體,日,413,4047,関電化,半導體特殊氣體廠
機器人/自動化,工具機(模具加工),日,414,6135,牧野フ,工具機廠
傳統消費,食品,日,417,1332,ニッスイ,日本水產
傳統產業,設備工程,日,418,1969,高砂熱,設備工程公司
半導體材料,半導體製程添加劑,日,419,4401,ＡＤＥＫＡ,半導體化學材料廠
傳統產業,營建,日,422,1808,長谷工,營建公司
半導體設備,搬送設備/電力設備,日,425,6507,シンフォニア,半導體搬送設備廠
品牌3C,印表機/事務機,日,426,6448,ブラザー,Brother
傳統產業,物流,日,431,9065,山九,物流公司
傳統產業,設備工程,日,437,1961,三機工,設備工程公司
CPO/光通訊,光調制器晶體材料,日,439,5232,住友大阪,光通訊用晶體材料廠
機器人/自動化,工廠/建築自動化,日,443,6845,アズビル,工廠自動化控制廠
遊戲/娛樂,遊戲機台,日,449,6460,セガサミー,Sega Sammy
金融,銀行,日,450,8358,スルガ銀,銀行
傳統產業,建機,日,454,6432,竹内製作所,建機廠
人力資源,招聘平台,日,457,4194,ビジョナル,Visional(Bizreach)
面板,面板,日,459,6740,Ｊディスプレ,中小尺寸面板廠
金融,銀行,日,464,8341,七十七,銀行
金融,銀行,日,465,8524,北洋銀,銀行
汽車,車用LED燈具,日,466,6923,スタンレー,車用LED燈具廠
半導體材料,CMP研磨材料,日,467,4368,扶桑化学,半導體研磨材料廠
機器人/自動化,直線運動軸承,日,469,6480,トムソン,機器人核心零件廠
品牌3C,計算機/電子樂器,日,470,6952,カシオ,Casio
傳統產業,鐵路,日,478,9041,近鉄ＧＨＤ,鐵路公司
人力資源,人力派遣,日,482,2181,パーソルＨＤ,Persol人力資源
CPO/光通訊,光學連接器,日,483,6961,エンプラス,光通訊用光學連接器廠
機器人/自動化,小型馬達,日,484,6592,マブチ,Mabuchi小型馬達大廠
汽車,車用頭燈,日,492,7276,小糸製,車用頭燈廠
金融,銀行,日,497,7189,西日本ＦＨ,銀行
傳統消費,藥妝零售,日,499,9989,サンドラッグ,藥妝零售
汽車,車用橡塑膠件,日,500,7282,豊田合,Toyoda Gosei車用零件
