主族群,細分產品,國家,排名,代碼,公司,產業地位
傳統產業,營建,韓,137,375500,DL이앤씨,DL E&C
傳統消費,零售/百貨,韓,138,069960,현대백화점,現代百貨
生技醫藥,製藥,韓,141,128940,한미약품,韓美藥品
生技醫藥,新藥研發(雙抗體),韓,142,298380,에이비엘바이오,ABL Bio生技
金融,金控,韓,143,138040,메리츠금융지주,Meritz金融
汽車,車用空調系統,韓,144,018880,한온시스템,韓昂System
半導體設備,CMP/濕製程設備,韓,145,281820,케이씨텍,KC Tech半導體設備廠
綠能/燃料電池,燃料電池,韓,146,336260,두산퓨얼셀,斗山燃料電池
造船,船用引擎,韓,148,082740,한화엔진,韓華引擎
金融,銀行,韓,149,024110,기업은행,企業銀行
PCB/CCL,PCB,韓,153,007810,코리아써키트,Korea Circuit PCB廠
傳統消費,零售,韓,155,023530,롯데쇼핑,樂天購物
生技醫藥,製藥,韓,156,067290,JW신약,JW新藥
遊戲/娛樂,遊戲軟體,韓,157,259960,크래프톤,Krafton，PUBG開發商
汽車,車用零件(底盤),韓,158,204320,HL만도,HL萬都
金融,保險,韓,160,005830,DB손해보험,DB損害保險
半導體設備,PCB AOI檢測設備,韓,161,420770,기가비스,Giga Vision半導體設備廠
傳統產業,化學/建材,韓,162,002380,KCC,KCC
傳統產業,鋼鐵,韓,165,004020,현대제철,現代製鐵
遊戲/娛樂,遊戲軟體,韓,166,036570,NC,NCSoft
封測(OSAT/測試),半導體測試介面(探針卡),韓,168,131290,티에스이,TSE探針卡廠
半導體設備,熱處理設備,韓,170,122640,예스티,Yestech半導體設備廠
商社/建設,綜合商社,韓,171,047050,포스코인터내셔널,POSCO集團商社
電力設備,電線電纜,韓,172,103590,일진전기,一進電氣
金融,保險,韓,173,001450,현대해상,現代海上保險
生技醫藥,製藥,韓,174,000100,유한양행,柳韓洋行
傳統消費,家電/淨水器租賃,韓,175,021240,코웨이,Coway
半導體材料,SiC環/碳化矽零件,韓,176,064760,티씨케이,TCK半導體材料廠
生技醫藥,新藥研發,韓,177,397030,에이프릴바이오,April Bio生技
機器人/自動化,機器人,韓,178,090710,휴림로봇,Hyulim Robot
電池/儲能,電池材料,韓,180,450080,에코프로머티,Ecopro Materials
航運,貨櫃航運,韓,181,011200,HMM,HMM
半導體材料,濕化學品/前驅物,韓,182,357780,솔브레인,Soulbrain半導體材料廠
汽車,輪胎,韓,183,161390,한국타이어앤테크놀로지,韓泰輪胎
傳統消費,化妝品流通(K-beauty出口),韓,185,257720,실리콘투,Silicon2化妝品流通平台
機器人/自動化,物流自動化設備,韓,186,319400,현대무벡스,現代Moobex
傳統產業,非鐵金屬(鋅冶煉),韓,188,010130,고려아연,高麗亞鉛
金融,保險,韓,189,085620,미래에셋생명,未來資產生命
金融,證券,韓,190,005940,NH투자증권,NH投資證券
金融,金控,韓,191,138930,BNK금융지주,BNK金融
傳統消費,食品,韓,192,271560,오리온,好麗友餅乾
金融,保險,韓,193,088350,한화생명,韓華生命
傳統消費,化妝品,韓,195,090430,아모레퍼시픽,雅萌詩太平洋韓妝大廠
綠能/風電,風塔,韓,196,112610,씨에스윈드,CS Wind風電零件廠
綠能/太陽能,太陽能,韓,199,322000,HD현대에너지솔루션,HD現代能源solution
IC通路,半導體通路,韓,200,031330,에스에이엠티,Samtech半導體通路商
半導體設備,設備零件清洗,韓,201,183300,코미코,Komico半導體設備服務
機器人/自動化,機器人,韓,204,439960,코스모로보틱스,Cosmo Robotics
電池/儲能,矽負極材料,韓,206,078600,대주전자재료,大洲電子材料電池材料廠
傳統產業,重工業設備(鍋爐/環保),韓,209,083650,비에이치아이,重工業設備廠
造船,造船,韓,210,097230,HJ중공업,HJ重工
半導體設備,半導體設備(控股),韓,211,030530,원익홀딩스,原益控股
傳統產業,營建,韓,212,006360,GS건설,GS建設
化合物半導體,GaN射頻元件,韓,214,218410,RFHIC,RFHIC，基站/雷達射頻元件廠
金融,網路銀行,韓,215,323410,카카오뱅크,Kakao Bank
生技醫藥,醫美(肉毒桿菌),韓,223,145020,휴젤,Hugel醫美生技
生技醫藥,新藥研發,韓,224,326030,SK바이오팜,SK生物製藥
機器人/自動化,機器人,韓,225,090360,로보스타,Robostar，三星集團機器人
生技醫藥,新藥研發,韓,226,476830,알지노믹스,生技新藥公司
電力設備,電力工程(核電設計),韓,227,052690,한전기술,韓國電力技術，KEPCO子公司
半導體設備,廢氣處理(Scrubber),韓,229,083450,GST,GST半導體設備廠
綠能/風電,海洋工程/風電基礎,韓,230,100090,SK오션플랜트,SK海洋廠
金融,網路銀行,韓,231,279570,케이뱅크,K bank
封測(OSAT/測試),半導體封測,韓,232,330860,네패스아크,Nepes Ark封測廠
半導體材料,過氧化氫/前驅物,韓,233,014680,한솔케미칼,韓松化學半導體材料廠
電池/儲能,鋰電池(一次電池),韓,235,082920,비츠로셀,Vitzro Cell電池廠
控股公司,韓華集團控股,韓,236,000880,한화,韓華集團
電信,電信運營商,韓,237,030200,KT,KT
電池/儲能,電池銅箔,韓,238,020150,롯데에너지머티리얼즈,樂天能源材料
安防設備,CCTV監控設備,韓,239,489790,한화비전,韓華Vision
機器人/自動化,馬達/減速機,韓,240,058610,에스피지,SPG機器人零件廠
封測(OSAT/測試),半導體封裝材料(焊球/Bonding Wire),韓,241,033160,엠케이전자,MK電子封裝材料廠
遊戲/娛樂,遊戲軟體,韓,242,263750,펄어비스,Pearl Abyss，黑色沙漠開發商
傳統產業,建機/農機,韓,243,241560,두산밥캣,斗山Bobcat
汽車,車用零件,韓,244,126640,화신정공,化信精工
控股公司,GS集團控股,韓,247,078930,GS,GS集團
控股公司,CJ集團控股,韓,250,001040,CJ,CJ集團
生技醫藥,新藥研發,韓,252,310210,보로노이,Voronoi生技
電信,電信運營商,韓,253,032640,LG유플러스,LG U+
媒體/娛樂,K-pop經紀,韓,254,035900,JYP Ent.,JYP Entertainment
封測(OSAT/測試),半導體封裝材料(Lead Frame/基板),韓,255,195870,해성디에스,Haesung DS封裝材料廠
電池/儲能,超級電容/銅箔,韓,256,417200,LS머트리얼즈,LS Materials電池材料廠
生技醫藥,醫美設備(超音波拉皮),韓,257,214150,클래시스,Classys醫美設備廠
傳統消費,飯店/免稅店,韓,259,008770,호텔신라,新羅酒店
網通設備,通訊中繼器設備,韓,262,050890,쏠리드,Solid通訊設備廠
傳統產業,電梯,韓,264,017800,현대엘리베이터,現代電梯
生技醫藥,原料藥CDMO,韓,265,237690,에스티팜,ST製藥CDMO
半導體設備,原子力顯微鏡(AFM),韓,266,140860,파크시스템스,Park Systems半導體檢測設備
封測(OSAT/測試),半導體陶瓷封裝基板,韓,267,252990,샘씨엔에스,三星電子系陶瓷基板廠
傳統消費,零售(大型超市),韓,268,139480,이마트,E-mart
IC設計,半導體設計服務(類ASIC),韓,269,490470,세미파이브,SemiFive設計服務廠
半導體材料,石英/陶瓷零件,韓,270,074600,원익QnC,原益QnC半導體材料廠
封測(OSAT/測試),半導體封測(OSAT),韓,271,036540,SFA반도체,SFA半導體封測廠
電池/儲能,二次電池廠環保設備,韓,272,383310,에코프로에이치엔,Ecopro HN環保設備廠
傳統產業,LED/太陽能模組,韓,273,004710,한솔테크닉스,韓松Technics
金融,網路支付,韓,274,377300,카카오페이,Kakao Pay
傳統產業,化學/工業材料,韓,275,120110,코오롱인더,Kolon Industries
傳統消費,化妝品/日用品,韓,278,051900,LG생활건강,LG生活健康
金融,金控,韓,279,139130,iM금융지주,iM金融
半導體材料,光罩(Blank Mask),韓,280,101490,에스앤에스텍,S&S Tech半導體材料廠
傳統消費,化妝品代工(ODM),韓,283,192820,코스맥스,Cosmax化妝品代工
造船,船用引擎,韓,284,071970,HD현대마린엔진,HD現代海洋引擎
電力設備,變壓器零件,韓,286,006910,보성파워텍,Bosung Power Tech
傳統產業,化學(合成橡膠),韓,288,011780,금호석유화학,錦湖石油化學
半導體材料,矽電極,韓,289,166090,하나머티리얼즈,Hana Materials半導體材料廠
控股公司,航空控股,韓,291,180640,한진칼,韓進KAL，大韓航空母公司
太空產業,衛星通訊天線,韓,292,189300,인텔리안테크,Intellian Tech
傳統消費,食品,韓,295,097950,CJ제일제당,CJ第一製糖
金融,再保險,韓,298,003690,코리안리,Korean Re
機器人/自動化,自動化/IT,韓,299,022100,포스코DX,POSCO DX，集團自動化
生技醫藥,製藥,韓,300,004310,현대약품,現代藥品
金融,金控,韓,301,175330,JB금융지주,JB金融
傳統消費,食品,韓,302,004370,농심,農心
電力設備,變壓器,韓,303,033100,제룡전기,Jeryong Electric電力設備廠
封測(OSAT/測試),半導體測試設備(Burn-in),韓,305,232140,와이씨,YC半導體設備廠
傳統產業,化學,韓,306,011170,롯데케미칼,樂天化學
汽車,車用零件/防彈材料,韓,308,007340,DN오토모티브,DN Automotive
半導體設備,半導體檢測設備,韓,311,064290,인텍플러스,Intekplus
造船,LNG船絕熱材料,韓,312,017960,한국카본,韓國碳業，造船材料廠
被動元件,MLCC天線元件,韓,313,052710,아모텍,Amotech被動元件廠
電池/儲能,電極製造設備,韓,314,222080,SFA넥셀,CIS電池設備廠
汽車,車用零件,韓,315,011210,현대위아,現代Wia
生技醫藥,新藥研發,韓,316,475830,오름테라퓨틱,Orum Therapeutics
航運,散裝航運,韓,318,028670,팬오션,Pan Ocean
PCB/CCL,軟板,韓,321,090460,비에이치,BH軟板廠，三星供應鏈
生技醫藥,醫療器材(手術器械),韓,322,491000,리브스메드,Livsmed醫材
軍工/國防,彈藥/銅製品,韓,323,103140,풍산,豐山，國防彈藥+金屬
電池/儲能,鋁箔(電池/電容用),韓,325,006110,삼아알미늄,三亞鋁業電池材料廠
半導體設備,EFEM/搬送設備,韓,326,417840,저스템,Justem半導體設備廠
金融,證券,韓,327,003530,한화투자증권,韓華投資證券
生技醫藥,新藥研發,韓,329,048410,현대바이오,現代Bio生技
IC設計,安全晶片IC設計,韓,331,456010,아이씨티케이,ICTK半導體設計廠
封測(OSAT/測試),半導體先進封測,韓,335,033640,네패스,Nepes半導體封測廠
電力設備,電線電纜(海纜),韓,337,229640,LS에코에너지,LS Eco Energy
太空產業,衛星製造,韓,339,099320,쎄트렉아이,Satrec Initiative
生技醫藥,疫苗,韓,341,302440,SK바이오사이언스,SK生物科學
汽車,車用LED燈具,韓,342,005850,에스엘,S&L車用零件廠
傳統消費,化妝品代工(ODM),韓,343,241710,코스메카코리아,Cosmecca Korea
控股公司,曉星集團控股,韓,344,004800,효성,曉星集團
封測(OSAT/測試),半導體封裝材料(焊球),韓,345,077360,덕산하이메탈,德山高金屬封裝材料廠
半導體設備,陶瓷加熱器,韓,346,059090,미코,Miko半導體設備零件廠
半導體設備,半導體/顯示雷射設備,韓,347,161580,필옵틱스,Philoptics設備廠
半導體材料,半導體特殊氣體,韓,348,425040,티이엠씨,TEMC半導體材料廠
光學元件,光電元件(LED),韓,349,017900,광전자,光電子LED廠
汽車,車用零件(鈑件),韓,354,010690,화신,車用零件廠
傳統產業,水泥,韓,355,038500,삼표시멘트,三表水泥
媒體/娛樂,廣告代理,韓,359,030000,제일기획,第一企劃，三星集團廣告
傳統產業,特殊鋼,韓,360,001430,세아베스틸지주,世亞特殊鋼控股
網通設備,基站RF元件,韓,363,032500,케이엠더블유,KMW通訊設備廠
造船,船用引擎/國防,韓,367,077970,STX엔진,STX引擎
電力設備,電力設備維護,韓,368,051600,한전KPS,韓電KPS，KEPCO子公司
AI/軟體服務,AI醫療影像,韓,370,328130,루닛,Lunit
生技醫藥,AI醫療影像,韓,370,328130,루닛,Lunit AI醫療診斷
控股公司,樂天集團控股,韓,373,004990,롯데지주,樂天集團
遊戲/娛樂,遊戲軟體,韓,377,251270,넷마블,Netmarble
綠能/風電,大型鍛件(風電/船舶),韓,378,044490,태웅,Taewoong鍛造廠
傳統產業,化學,韓,379,005950,이수화학,理樹化學
CPO/光通訊,光收發模組,韓,383,138080,오이솔루션,Oe Solutions光通訊元件廠
傳統消費,服飾品牌,韓,391,383220,F&F,F&F，MLB韓國授權
半導體材料,濕化學品,韓,394,102710,이엔에프테크놀로지,ENF Technology半導體材料廠
軍工/國防,精密彈藥/無人機,韓,395,010820,퍼스텍,Firstec國防廠
生技醫藥,疫苗/血液製劑,韓,396,006280,녹십자,綠十字生技
傳統消費,零售(便利店),韓,398,282330,BGF리테일,BGF Retail，CU便利店
