主族群,細分產品,國家,排名,代碼,公司,產業地位
網路服務/遊戲,數位營銷與公關,陸,65,sz300058,蓝色光标,中國規模最大的數位營銷、公共關係與出海廣告代理商（藍色光標）
生技醫藥,製藥,陸,66,sh600276,恒瑞医药,恒瑞醫藥，創新藥大廠
半導體材料,電子化學品(光刻膠),陸,67,sz300346,南大光电,光刻膠材料廠(南大光電)
傳統產業/原材料,黃金/礦業,陸,68,sh601899,紫金矿业,紫金礦業，大型礦業集團
CPO/光通訊,通訊設備,陸,69,sh603083,剑桥科技,通訊設備廠(劍橋科技)
造船,造船,陸,70,sh600150,中国船舶,中國船舶，大型造船廠
CPO/光通訊,光纖光纜,陸,71,sh600105,永鼎股份,光纖光纜廠(永鼎股份)
面板,面板與半導體顯示,陸,72,sz000100,TCL科技,中國半導體顯示面板與大尺寸電視液晶面板巨頭（TCL科技）
組裝代工(EMS),觸控/玻璃蓋板代工,陸,73,sz300433,蓝思科技,藍思科技，手機玻璃蓋板廠
機器人/自動化,精密減速機(諧波),陸,74,sh688017,XD绿的谐,機器人諧波減速機廠(綠的諧波)
金融,證券/網路金融,陸,75,sz300059,东方财富,東方財富，網路券商龍頭
被動元件,MLCC電容/電阻,陸,76,sz000636,风华高科,MLCC/電阻元件廠(風華高科)
傳統製造,電腦整機與伺服器,陸,77,sz000066,中国长城,中國電子集團旗下之信創硬體與伺服器核心大廠（中國長城）
半導體材料,電子特氣,陸,78,sh688146,中船特气,半導體特殊氣體廠(中船特氣)
IC設計,消費性電子晶片,陸,79,sh603893,瑞芯微,消費性電子晶片設計廠(瑞芯微)
晶圓代工,晶圓代工,陸,80,sh688249,晶合集成,晶合集成，面板驅動IC晶圓代工廠
機器人/自動化,工業機器人,陸,81,sz002747,埃斯顿,工業機器人廠(埃斯頓)
汽車,新能源車整車,陸,82,sz002594,比亚迪,比亞迪，全球新能源車大廠
材料/化學品,有機矽材料,陸,83,sz300821,东岳硅材,中國有機矽深加工及矽橡膠產品主要製造商
傳統消費,白酒,陸,84,sh600519,贵州茅台,貴州茅台，白酒龍頭
半導體材料,電子特氣/氟材料,陸,85,sh600378,昊华科技,昊華科技，含氟材料廠
網路服務/遊戲,雲端與物聯網終端,陸,86,sz300857,协创数据,提供物聯網智慧終端機與數據存儲設備代工大廠
傳統產業/原材料,鎢礦,陸,87,sz000657,中钨高新,鎢業公司(中鎢高新)
PCB/CCL,PCB,陸,88,sz002436,兴森科技,PCB廠(興森科技)
CPO/光通訊,通訊連接器,陸,89,sh688629,华丰科技,高速通訊連接器廠(華豐科技)
IC設計,記憶體周邊IC設計,陸,90,sh688766,普冉股份,存儲周邊IC設計廠(普冉股份)
半導體設備,精密零部件與真空表面處理,陸,91,sz301583,N托伦斯,國內領先的半導體微影、刻蝕設備金屬真空腔體與精密零部件耗材商
材料/化學品,超硬材料,陸,92,sh600172,黄河旋风,中國人造金剛石及超硬材料製造大廠
化合物半導體,LED/光電,陸,93,sh600703,三安光电,LED/光電半導體大廠(三安光電)
IC設計,多媒體應用晶片,陸,94,sz300458,全志科技,多媒體晶片設計廠(全志科技)
PCB/CCL,PCB,陸,95,sz002916,深南电路,PCB大廠(深南電路)
軍工/國防,航天電子,陸,96,sh600879,XD航天电,航天電子裝備廠(航天電子)
綠能/風電,風力發電機,陸,97,sz002202,金风科技,風力發電機大廠(金風科技)
封測(OSAT/測試),半導體封測(OSAT),陸,98,sh688362,甬矽电子,封測廠(甬矽電子)
電池/儲能,電池材料(電解液),陸,99,sz002709,天赐材料,電池電解液材料廠(天賜材料)
矽晶圓/材料,矽晶圓,陸,100,sh605358,立昂微,矽晶圓廠(立昂微)
電力設備,溫控散熱設備,陸,101,sz002837,英维克,中國資料中心與儲能液冷精密溫控散熱設備龍頭
組裝代工(EMS),手機軟板/系統封裝代工,陸,102,sz002938,鹏鼎控股,鵏鼎控股，軟板代工廠
半導體設備,晶圓檢測設備,陸,103,sh688361,中科飞测,半導體檢測設備廠(中科飛測)
太空產業,衛星,陸,104,sh600118,中国卫星,中國衛星，衛星製造廠
CPO/光通訊,光通訊交換晶片,陸,105,sh688702,盛科通信,光通訊交換晶片廠(盛科通信)
組裝代工(EMS),聲學/精密零組件代工,陸,106,sz002241,歌尔股份,歌爾股份，聲學元件+代工大廠
電池/儲能,電池級氫氧化鋰,陸,107,sz300390,天华新能,寧德時代供應鏈之高純度電池級氫氧化鋰主力供應商
功率半導體,功率半導體(IDM),陸,108,sh688396,华润微,功率半導體IDM廠(華潤微)
PCB/CCL,電解銅箔,陸,109,sz301217,铜冠铜箔,電解銅箔廠(銅冠銅箔)
功率半導體,功率二極體,陸,110,sz300373,扬杰科技,功率半導體廠(揚杰科技)
電力設備,電力電子設備,陸,111,sz002364,中恒电气,中恒電氣，電力電子設備廠
汽車,車用熱管理元件,陸,112,sz002050,三花智控,車用熱管理元件廠(三花智控)
封測(OSAT/測試),晶圓級封裝,陸,113,sh603005,晶方科技,CIS/晶圓級封裝廠(晶方科技)
化合物半導體,CIS影像感測器,陸,114,sh603501,豪威集团,豪威集團，全球CIS影像感測器大廠
功率半導體,功率半導體(IGBT/MOSFET),陸,115,sh600360,华微电子,國內老牌功率半導體IDM廠，主攻家電及工業級IGBT及MOSFET（華微電子）
CPO/光通訊,光通訊元件,陸,116,sz300570,太辰光,光通訊元件廠(太辰光)
金融,證券,陸,117,sh600030,中信证券,中信證券
半導體材料,CMP拋光液/材料,陸,118,sh688019,安集科技,半導體材料廠(安集科技)
AI雲端,CDN/雲端服務,陸,119,sz300017,网宿科技,網宿科技，CDN/雲端服務廠
CPO/光通訊,光通訊元件,陸,120,sz300620,光库科技,光通訊元件廠(光庫科技)
矽晶圓/材料,矽材料,陸,121,sh688432,有研硅,矽材料廠(有研硅)
傳統產業,化工材料(氟化工),陸,122,sh600160,巨化股份,巨化股份，氟化工龍頭
媒體/娛樂,數字娛樂,陸,123,sz002354,天娱数科,天娛數科，數字娛樂廠
網路服務/遊戲,IDC資料中心,陸,124,sz300442,润泽科技,國內領先的超大規模第三方資料中心（IDC）運營商（潤澤科技）
面板,顯示面板,陸,125,sz001399,惠科股份,中國大尺寸與中小尺寸液晶顯示面板製造大廠（惠科）
傳統產業/原材料,鉬礦,陸,126,sh603993,洛阳钼业,全球鉬礦與新能源金屬大廠(洛陽鉬業)
半導體設備,半導體設備零部件,陸,127,sh688797,臻宝科技,專攻半導體製程設備核心金屬零部件與耗材製造商
半導體設備,乾法去膠設備,陸,128,sh688729,屹唐股份,半導體設備廠(屹唐股份)
網路服務/遊戲,華為昇騰算力伺服器,陸,129,sz002261,拓维信息,華為鯤鵬與昇騰算力生態圈之核心伺服器與軟體合作夥伴（拓維信息）
CPO/光通訊,通訊電子元件,陸,130,sh603629,利通电子,電子元件廠(利通電子)
PCB/CCL,覆銅板,陸,131,sz002636,金安国纪,中國中低厚度覆銅板（CCL）市場的主要製造大廠
CPO/光通訊,通訊系統設備,陸,132,sh688387,信科移动,5G通訊技術廠(信科移動)
公用事業,發電,陸,133,sh601991,大唐发电,大唐發電
電信,網路交換機與路由器,陸,134,sz301165,锐捷网络,中國企業級網路設備與交換機領先大廠（銳捷網路）
軍工/國防,軍用通訊系統,陸,135,sz300762,上海瀚讯,上海瀚訊，軍用無線通訊廠
IC設計,伺服器/IT設計服務,陸,136,sz301396,宏景科技,IT設計服務廠(宏景科技)
半導體設備,3D列印金屬設備,陸,137,sh688333,铂力特,金屬3D列印設備廠(鉑力特)
傳統產業/原材料,鎢礦,陸,138,sh600549,厦门钨业,鎢業大廠(廈門鎢業)
半導體材料,電子化學品,陸,139,sh688549,中巨芯,半導體濕化學品廠(中巨芯)
網路服務/遊戲,網路遊戲研發與運營,陸,140,sz002558,巨人网络,擁有《征途》與《球球大作戰》等核心IP的中國老牌遊戲巨頭（巨人網路）
軍工/國防,特種連接器與微特電機,陸,141,sz002025,航天电器,航天科工集團旗下，供應軍工與航太高可靠連接器龍頭（航天電器）
半導體設備,離子注入機,陸,142,sh600641,先导基电,萬業企業轉型，國內半導體離子注入設備領先廠商
IC設計,MCU/類比IC設計,陸,143,sh688385,复旦微电,復旦微電，MCU/FPGA設計廠
傳統產業/原材料,稀土,陸,144,sh600111,北方稀土,全球最大稀土公司(北方稀土)
組裝代工(EMS),手機/電腦代工,陸,145,sh603296,华勤技术,華勤技術，ODM代工大廠
公用事業,水電,陸,146,sh600900,长江电力,長江電力
傳統消費,白酒,陸,147,sz000858,五 粮 液,五糧液，白酒大廠
功率半導體,碳化矽功率元件,陸,148,sh688469,芯联集成,SiC功率元件代工廠(芯聯集成)
安防設備,安防監控設備,陸,149,sz002415,海康威视,全球安防監控龍頭(海康威視)
軍工/國防,紅外熱成像,陸,150,sh688002,睿创微纳,紅外熱成像晶片廠(睿創微納)
半導體設備,清洗設備,陸,151,sh688082,盛美上海,半導體清洗設備廠(盛美上海)
材料/化學品,玻璃纖維與風電葉片,陸,152,sz002080,中材科技,中國最大的風電葉片與特種玻璃纖維複合材料製造商（中材科技）
記憶體,利基型記憶體,陸,153,sh688110,东芯股份,利基型記憶體IC廠(東芯股份)
半導體設備,半導體測試設備,陸,154,sh688627,精智达,測試設備廠(精智達)
CPO/光通訊,光學元件,陸,155,sh603773,沃格光电,光通訊光學元件廠(沃格光電)
金融,證券,陸,156,sh600909,华安证券,華安證券
傳統產業,化工新材料,陸,157,sh601208,东材科技,化工新材料廠(東材科技)
軍工/國防,軍用相控陣器件,陸,158,sz001270,铖昌科技,軍工微波元件廠(鋮昌科技)
電信,企業網通與雲終端,陸,159,sz002396,星网锐捷,銳捷網絡母公司，國內企業級網通設備與瘦客戶機（雲終端）龍頭（星網銳捷）
IC設計,GPU/AI晶片,陸,160,sh688802,沐曦股份,AI/GPU晶片設計廠(沐曦股份)
綠能/太陽能,太陽能矽片,陸,161,sz002129,TCL中环,光伏矽片/半導體材料廠(TCL中環)
IC設計,EEPROM存儲晶片,陸,162,sh688123,聚辰股份,國內EEPROM存儲晶片設計龍頭(聚辰股份)
金融,保險,陸,163,sh601318,中国平安,中國平安
金融,證券/網路金融,陸,164,sz300033,同花顺,同花順，證券資訊服務龍頭
組裝代工(EMS),手機結構件代工,陸,165,sz002600,领益智造,領益智造，精密結構件代工廠
建設/不動產,地產與光通信,陸,166,sh600246,万通发展,傳統房地產商積極轉型，併購索爾思光電跨足光通信模組（萬通發展）
機器人/自動化,精密機電零件,陸,167,sz300503,昊志机电,精密機電零件廠(昊志機電)
IC通路,電子元器件分銷,陸,168,sz300184,力源信息,國內知名的電子元器件代理分銷商(力源信息)
CPO/光通訊,光通訊元件,陸,169,sh688313,仕佳光子,光通訊元件廠(仕佳光子)
被動元件,鋁質電解電容,陸,170,sz002484,江海股份,電解電容材料廠(江海股份)
電力設備,新能源發電,陸,171,sz001248,华润新能,華潤集團旗下風電與光伏等新能源發電與運營主力（華潤新能源）
材料/化學品,屏幕與半導體封裝材料,陸,172,sz300398,飞凯材料,國內光纖塗料與面板、半導體封裝用高階化學材料大廠（飛凱材料）
IC設計,GPU設計,陸,173,sh688795,摩尔线程,國產GPU設計廠(摩爾線程)
傳統產業,化工材料(橡膠助劑),陸,174,sh603650,彤程新材,橡膠化工材料廠(彤程新材)
網路服務/遊戲,數字營銷與水泵,陸,175,sz002131,利欧股份,擁有龐大出海數字營銷業務，並兼營傳統民用水泵雙主業（利歐股份）
AI/軟體服務,AI語音技術,陸,176,sz002230,科大讯飞,科大訊飛，AI語音技術龍頭
半導體設備,塗膠顯影設備,陸,177,sh688037,芯源微,半導體前道設備廠(芯源微)
CPO/光通訊,通訊終端設備,陸,178,sz002491,通鼎互联,通鼎互聯，通訊線纜/設備廠
AI/軟體服務,辦公軟體,陸,179,sh688111,金山办公,金山辦公，辦公軟體大廠
半導體設備,半導體測試設備,陸,180,sh688200,华峰测控,晶圓測試設備廠(華峰測控)
製藥/生技,醫藥CRO/CDMO,陸,181,sz300759,康龙化成,國內第二大、全球領先之新藥研發臨床與臨床前CRO巨頭（康龍化成）
PCB/CCL,印刷電路板,陸,182,sh600601,方正科技,中國老牌PCB與寬頻網路服務供應商（方正科技）
IC設計,EDA軟體,陸,183,sz301269,华大九天,中國唯一能提供全流程EDA設計軟體的絕對龍頭（華大九天）
電池/儲能,鋰礦/鋰鹽,陸,184,sz002466,天齐锂业,全球鋰業龍頭(天齊鋰業)
封測(OSAT/測試),半導體測試服務,陸,185,sh688372,伟测科技,IC測試服務廠(偉測科技)
半導體設備,切割刀具,陸,186,sz301005,超捷股份,精密刀具廠(超捷股份)
封測(OSAT/測試),面板驅動IC封測,陸,187,sh688403,汇成股份,驅動IC封測廠(匯成股份)
材料/化學品,稀有金屬與鈦材,陸,188,sz002149,西部材料,專精於鈦合金、鋯合金及金屬過濾材料之軍工與核電材料供應商（西部材料）
傳統產業/原材料,銅礦,陸,189,sh600362,江西铜业,銅業大廠(江西銅業)
軍工/國防,海底數據中心及航海電子,陸,190,sz300065,海兰信,國內航海電子與軍工雷達大廠，並首創海底資料中心（UDC）技術（海蘭信）
CPO/光通訊,光通訊元件,陸,191,sz300548,长芯博创,光通訊元件廠(長芯博創)
PCB/CCL,PCB銅箔,陸,192,sz301511,德福科技,電解銅箔廠(德福科技)
PCB/CCL,PCB(車用),陸,193,sz002815,崇达技术,崇達技術，車用PCB廠
傳統消費,養豬/肉品,陸,194,sz002714,牧原股份,牧原股份，全球最大養豬企業
光學元件,相機模組與光學鏡頭,陸,195,sz002456,欧菲光,國內光學元件巨頭，主攻智慧手機多攝相機模組與智慧汽車影像系統
傳統產業,化工材料,陸,196,sh600673,东阳光,東陽光，電子化學品/材料廠
面板,顯示玻璃基板,陸,197,sh600707,彩虹股份,顯示玻璃基板廠(彩虹股份)
PCB/CCL,PCB,陸,198,sh603228,景旺电子,PCB廠(景旺電子)
電池/儲能,電池材料(電解液),陸,199,sz300037,新宙邦,電池電解液材料廠(新宙邦)
電池/儲能,電池材料(超細金屬粉),陸,200,sh605376,博迁新材,電池材料廠(博遷新材)
半導體設備,半導體流體系統與氣體,陸,201,sh688596,正帆科技,供應晶圓廠超高純工藝介質流體系統及電子特氣的綜合服務商（正帆科技）
材料/化學品,電子特氣與工業氣體,陸,202,sh688548,广钢气体,中國本土領先之半導體與面板用電子特氣及大宗氣體廠（廣鋼氣體）
材料/化學品,電子級玻璃纖維布,陸,203,sh603256,宏和科技,全球高階電子級玻璃纖維薄布與極薄布技術龍頭
網路服務/遊戲,IT產品分銷與雲服務,陸,204,sz000034,神州数码,中國最大的IT產品分銷商與雲計算數位化轉型服務商（神州數碼）
被動元件,電子元件(電容器),陸,205,sh600353,旭光电子,電子元件廠(旭光電子)
半導體材料,矽材料(化合物半導體基材),陸,206,sh688233,神工股份,半導體矽材料廠(神工股份)
面板,LED及砷化鎵太陽能電池,陸,207,sz300102,乾照光电,海信集團旗下，紅黃光LED外延片與芯片產量領先廠（乾照光電）
重工業/造船,油氣田裝備,陸,208,sz002353,杰瑞股份,全球領先之油氣田壓裂設備與能源鑽採裝備製造商（傑瑞）
電池/儲能,鋰礦/鋰鹽,陸,209,sz002460,赣锋锂业,鋰電池材料大廠(贛鋒鋰業)
半導體設備,精密零件,陸,210,sh688409,富创精密,半導體設備精密零件廠(富創精密)
汽車,車用零件,陸,211,sh601689,拓普集团,拓普集團，車用底盤系統廠
金融,證券,陸,212,sh600999,招商证券,招商證券
機器人/自動化,自動化設備,陸,213,sz300757,罗博特科,自動化設備廠(羅博特科)
半導體設備,光刻塗膠設備,陸,214,sh688630,芯碁微装,半導體微影設備廠(芯碁微裝)
汽車,車用零件(水泵),陸,215,sz002536,飞龙股份,飛龍股份，車用水泵廠
傳統製造,工業製冷與壓縮機,陸,216,sz000811,冰轮环境,中國商用與工業冷凍冷藏及中央空調壓縮機大廠（冰輪環境）
化合物半導體,光學材料,陸,217,sz300489,光智科技,光學材料廠(光智科技)
電力設備,電線電纜,陸,218,sh603618,杭电股份,浙江省領先的電力電纜與光通信線纜製造廠
軍工/國防,紅外熱成像與夜視探測器,陸,219,sz002414,高德红外,國內軍用紅外成像晶片、熱顯像飛彈導引頭與防衛光電系統絕對龍頭
功率半導體,電源管理IC,陸,220,sh688141,杰华特,電源管理IC設計廠(杰華特)
金融,銀行,陸,221,sh601398,工商银行,工商銀行
材料/化學品,光伏導電銀漿,陸,222,sh688503,聚和材料,太陽能電池核心耗材正極銀漿之全球出貨量霸主（聚和材料）
電池/儲能,電池隔膜,陸,223,sz002812,恩捷股份,電池隔膜材料大廠(恩捷股份)
CPO/光通訊,光纖光纜,陸,224,sz002617,露笑科技,露笑科技，光纖光纜+晶體材料廠
金融,銀行,陸,225,sh600036,XD招商银,招商銀行
半導體材料,封裝膠材,陸,226,sh688535,华海诚科,華海誠科，半導體封裝材料廠
IC設計,特種射頻與ADC芯片,陸,227,sh688270,ST臻镭,專攻軍工雷達與航太特種射頻收發芯片及微波毫米波產品（ST臻鐳）
機器人/自動化,精密減速機(行星),陸,228,sz002472,双环传动,精密傳動元件廠(雙環傳動)
電力設備,電線電纜與特高壓,陸,229,sh600869,XD远东股,中國產銷規模領先之智慧電纜與特高壓線纜巨頭
電池/儲能,動力電池,陸,230,sz300014,亿纬锂能,動力電池大廠(億緯鋰能)
IC設計,MEMS感測器,陸,231,sz300456,赛微电子,MEMS感測器設計廠(賽微電子)
半導體設備,自動化檢測設備,陸,232,sh603283,赛腾股份,賽騰股份，自動化測試設備廠
材料/化學品,高純石英玻璃,陸,233,sz300395,菲利华,中國唯一獲國際三大半導體設備廠認證之石英材料廠（菲利華）
傳統產業,化工材料(MDI),陸,234,sh600309,万华化学,萬華化學，MDI化工材料龍頭
功率半導體,功率半導體(IDM),陸,235,sh605111,新洁能,功率半導體廠(新洁能)
軍工/國防,恆星敏感器及雷達,陸,236,sz300342,天银机电,掌握衛星導航姿態控制核心（恆星敏感器）的軍工及家電零件廠（天銀機電）
IC設計,RF前端晶片,陸,237,sz300782,卓胜微,手機RF晶片設計廠(卓胜微)
傳統產業/原材料,黃金,陸,238,sh600988,赤峰黄金,黃金礦業公司(赤峰黃金)
軍工/國防,軍工電子,陸,239,sh688818,电科蓝天,軍工電子廠(電科蓝天)
AI雲端/軟體,網路安全與雲計算基礎設施,陸,240,sz300454,深信服,國內企業級網路安全、防火牆與私有雲架顧軟硬體整合巨頭（深信服）
金融,證券,陸,241,sh601211,国泰海通,國泰海通
建設/不動產,房地產開發與城市建設,陸,242,sz002208,合肥城建,安徽省合肥市國資旗下的區域型住宅與保障房開發營建商
電池/儲能,鋰礦,陸,243,sz002192,融捷股份,鋰礦資源廠(融捷股份)
傳統產業/原材料,鋁業,陸,244,sz000807,云铝股份,鋁業公司(雲鋁股份)
材料/化學品,鋯系列製品,陸,245,sz002167,东方锆业,中核集團旗下，中國涵蓋鋯全產業鏈的材料龍頭（東方鋯業）
半導體設備,光電測試儀器,陸,246,sh688808,联讯仪器,專注於半導體晶片與光通信測試儀器開發的高端設備廠（聯訊儀器）
能源（石油/煤炭）,火電與風電,陸,247,sh600396,华电辽能,華電集團於遼寧地區之火電與清潔能源發電平台（華電遼能）
半導體設備,光伏/半導體設備,陸,248,sz300751,迈为股份,邁為股份，光伏異質結設備廠
軍工/國防,軍用無線通信與北斗,陸,249,sz002465,海格通信,國內軍工無線通信裝備及北斗導航終端的核心供應商（海格通信）
IC通路,電子元件通路,陸,250,sz300975,商络电子,電子元件分銷商(商絡電子)
製藥/生技,小分子CDMO,陸,251,sz002821,凯莱英,全球領先的小分子藥物創新CDMO（委託研發與生產）巨頭（凱萊英）
被動元件,電感/磁性元件,陸,252,sz002138,顺络电子,電感磁性元件廠(順絡電子)
半導體設備,半導體廠務設備,陸,253,sh688652,京仪装备,半導體廠務設備廠(京儀裝備)
IC設計,多媒體晶片設計,陸,254,sh688099,晶晨股份,智能終端晶片設計廠(晶晨股份)
記憶體,記憶體模組,陸,255,sz301666,大普微,記憶體模組廠(大普微)
軍工/國防,軍用連接器,陸,256,sz002179,中航光电,軍用連接器大廠(中航光電)
半導體材料,石英材料,陸,257,sz300260,新莱应材,半導體材料廠(新莱应材)
CPO/光通訊,雷射光學元件,陸,258,sh688167,炬光科技,雷射光學元件廠(炬光科技)
功率半導體,化合物半導體(IDM),陸,259,sh688172,燕东微,車用功率半導體廠(燕東微)
金融,銀行,陸,260,sh601288,农业银行,農業銀行
傳統產業/原材料,鉭礦,陸,261,sz000962,东方钽业,鉭業公司(東方鉭業)
矽晶圓/材料,半導體拋光與利基型矽晶圓,陸,262,sh688584,上海合晶,環球晶旗下，國內領先之車用與工控8吋、12吋半導體矽晶圓材料商
汽車,汽車整車,陸,263,sh600418,江淮汽车,江淮汽車
傳統產業/原材料,鋰/化工,陸,264,sz000792,盐湖股份,鹽湖股份，鹽湖提鋰廠
半導體材料,磁性材料,陸,265,sh600330,天通股份,磁性材料廠(天通股份)
材料/化學品,LED晶片、封裝與照明燈具,陸,266,sz002745,木林森,國內最大的LED封裝與照明應用大廠，建立全產業鏈佈局
PCB/CCL,PCB,陸,267,sh688183,生益电子,PCB廠(生益電子)
材料/化學品,半導體電鍍液及光刻膠,陸,268,sz300236,上海新阳,國內半導體晶圓製造用超高純電鍍液與清洗液領先者（上海新陽）
